Trip id,From station id,To station id,Starttime,Stoptime,Bikeid,Usertype,Tripduration
11714909,1006,1000,7/1/2015 0:44,7/1/2015 0:58,70242,Customer,802
11721479,1010,1010,7/1/2015 5:04,7/1/2015 5:24,70316,Customer,1195
11721485,1010,1010,7/1/2015 5:04,7/1/2015 5:23,70227,Customer,1129
11721489,1010,1010,7/1/2015 5:04,7/1/2015 5:24,70495,Customer,1163
11722185,1028,1016,7/1/2015 5:32,7/1/2015 5:55,70405,Subscriber,1360
11722847,1016,1011,7/1/2015 5:56,7/1/2015 6:02,70092,Subscriber,390
11724289,1039,1041,7/1/2015 6:47,7/1/2015 6:50,70354,Subscriber,164
11724551,1025,1001,7/1/2015 6:57,7/1/2015 7:20,70203,Customer,1389
11724809,1010,1017,7/1/2015 7:06,7/1/2015 7:15,70227,Customer,517
11725110,1018,1004,7/1/2015 7:16,7/1/2015 8:22,70080,Customer,3986
11725368,1003,1049,7/1/2015 7:24,7/1/2015 7:38,70339,Subscriber,820
11725661,1049,1004,7/1/2015 7:35,7/1/2015 7:43,70475,Subscriber,454
11725686,1019,1017,7/1/2015 7:36,7/1/2015 7:51,70319,Subscriber,912
11726008,1021,1003,7/1/2015 7:45,7/1/2015 8:12,70386,Subscriber,1591
11726133,1028,1036,7/1/2015 7:49,7/1/2015 8:12,70145,Subscriber,1401
11726215,1009,1001,7/1/2015 7:51,7/1/2015 7:59,70473,Subscriber,428
11726286,1044,1001,7/1/2015 7:54,7/1/2015 8:16,70394,Subscriber,1315
11726372,1033,1041,7/1/2015 7:56,7/1/2015 8:10,70062,Subscriber,796
11727003,1014,1005,7/1/2015 8:16,7/1/2015 8:29,70288,Subscriber,753
11727018,1018,1001,7/1/2015 8:17,7/1/2015 8:36,70150,Customer,1172
11727091,1008,1006,7/1/2015 8:19,7/1/2015 8:30,70050,Subscriber,666
11727092,1028,1041,7/1/2015 8:19,7/1/2015 8:46,70008,Subscriber,1603
11727199,1047,1043,7/1/2015 8:22,7/1/2015 8:44,70396,Subscriber,1279
11727326,1018,1010,7/1/2015 8:27,7/1/2015 8:46,70311,Subscriber,1172
11727327,1020,1034,7/1/2015 8:27,7/1/2015 8:39,70327,Subscriber,753
11727335,1015,1009,7/1/2015 8:27,7/1/2015 13:06,70170,Subscriber,16719
11727341,1020,1024,7/1/2015 8:27,7/1/2015 8:44,70270,Customer,1029
11727390,1008,1006,7/1/2015 8:29,7/1/2015 8:32,70474,Subscriber,199
11727473,1049,1005,7/1/2015 8:32,7/1/2015 8:42,70204,Subscriber,628
