day	hour	value
1	1	14
1	2	12
1	3	15
1	4	13
1	5	9
1	6	7
1	7	8
1	8	10
1	9	18
1	10	33
1	11	56
1	12	93
1	13	137
1	14	174
1	15	169
1	16	171
1	17	169
1	18	114
1	19	85
1	20	54
1	21	28
1	22	7
1	23	5
1	24	5
2	1	5
2	2	4
2	3	2
2	4	6
2	5	7
2	6	1
2	7	4
2	8	4
2	9	7
2	10	24
2	11	45
2	12	70
2	13	74
2	14	83
2	15	95
2	16	94
2	17	93
2	18	109
2	19	86
2	20	62
2	21	43
2	22	21
2	23	22
2	24	10
3	1	4
3	2	1
3	3	4
3	4	2
3	5	3
3	6	4
3	7	7
3	8	21
3	9	24
3	10	19
3	11	14
3	12	26
3	13	34
3	14	37
3	15	44
3	16	39
3	17	53
3	18	56
3	19	53
3	20	43
3	21	15
3	22	9
3	23	6
3	24	8
4	1	4
4	2	0
4	3	0
4	4	0
4	5	1
4	6	3
4	7	8
4	8	14
4	9	32
4	10	28
4	11	20
4	12	19
4	13	30
4	14	34
4	15	40
4	16	27
4	17	33
4	18	49
4	19	63
4	20	47
4	21	36
4	22	18
4	23	18
4	24	4
5	1	2
5	2	0
5	3	1
5	4	1
5	5	1
5	6	4
5	7	9
5	8	16
5	9	33
5	10	28
5	11	22
5	12	36
5	13	46
5	14	53
5	15	32
5	16	35
5	17	43
5	18	66
5	19	72
5	20	57
5	21	34
5	22	27
5	23	18
5	24	10
6	1	5
6	2	2
6	3	1
6	4	0
6	5	0
6	6	3
6	7	6
6	8	16
6	9	28
6	10	25
6	11	15
6	12	23
6	13	38
6	14	33
6	15	44
6	16	35
6	17	40
6	18	45
6	19	73
6	20	54
6	21	51
6	22	23
6	23	26
6	24	18
7	1	10
7	2	6
7	3	7
7	4	1
7	5	1
7	6	2
7	7	3
7	8	11
7	9	37
7	10	25
7	11	22
7	12	36
7	13	34
7	14	48
7	15	65
7	16	63
7	17	80
7	18	68
7	19	85
7	20	70
7	21	54
7	22	37
7	23	27
7	24	18
