Starttime,Stoptime
8/10/2015 0:01,8/10/2015 0:26
8/10/2015 0:02,8/10/2015 0:25
8/10/2015 0:07,8/10/2015 0:16
8/10/2015 0:08,8/10/2015 0:15
8/10/2015 0:11,8/10/2015 0:39
8/10/2015 0:11,8/10/2015 0:48
8/10/2015 0:17,8/10/2015 0:36
8/10/2015 0:22,8/10/2015 0:33
8/10/2015 0:22,8/10/2015 0:30
8/10/2015 0:22,8/10/2015 0:33
8/10/2015 0:23,8/10/2015 0:34
8/10/2015 0:24,8/10/2015 2:33
8/10/2015 0:33,8/10/2015 0:57
8/10/2015 0:34,8/10/2015 0:43
8/10/2015 1:11,8/10/2015 1:21
8/10/2015 1:17,8/10/2015 1:27
8/10/2015 2:21,8/10/2015 2:40
8/10/2015 2:21,8/10/2015 2:35
8/10/2015 2:22,8/10/2015 2:33
8/10/2015 2:38,8/10/2015 2:41
8/10/2015 2:44,8/10/2015 3:14
8/10/2015 3:58,8/10/2015 4:45
8/10/2015 4:05,8/10/2015 4:46
8/10/2015 4:07,8/10/2015 4:44
8/10/2015 4:09,8/10/2015 4:44
8/10/2015 4:19,8/10/2015 4:40
8/10/2015 5:34,8/10/2015 5:55
8/10/2015 6:19,8/10/2015 6:32
8/10/2015 7:18,8/10/2015 7:29
8/10/2015 7:22,8/10/2015 7:34
8/10/2015 7:40,8/10/2015 7:48
8/10/2015 7:40,8/10/2015 7:49
8/10/2015 7:46,8/10/2015 8:07
8/10/2015 7:49,8/10/2015 7:59
8/10/2015 7:50,8/10/2015 8:13
8/10/2015 7:51,8/10/2015 8:10
8/10/2015 7:56,8/10/2015 8:20
8/10/2015 7:58,8/10/2015 8:09
8/10/2015 8:04,8/10/2015 8:12
8/10/2015 8:06,8/10/2015 14:25
8/10/2015 8:07,8/10/2015 8:33
8/10/2015 8:08,8/10/2015 8:27
8/10/2015 8:18,8/10/2015 8:32
8/10/2015 8:20,8/10/2015 8:31
8/10/2015 8:20,8/10/2015 8:34
8/10/2015 8:24,8/10/2015 8:30
8/10/2015 8:25,8/10/2015 8:38
8/10/2015 8:25,8/10/2015 8:36
8/10/2015 8:28,8/10/2015 8:45
8/10/2015 8:29,8/10/2015 8:45
8/10/2015 8:30,8/10/2015 8:40
8/10/2015 8:30,8/10/2015 8:56
8/10/2015 8:31,8/10/2015 8:53
8/10/2015 8:31,8/10/2015 8:43
8/10/2015 8:31,8/10/2015 8:53
8/10/2015 8:33,8/10/2015 8:48
8/10/2015 8:37,8/10/2015 8:51
8/10/2015 8:38,8/10/2015 11:25
8/10/2015 8:42,8/10/2015 8:45
8/10/2015 8:44,8/10/2015 8:52
8/10/2015 8:45,8/10/2015 9:01
8/10/2015 8:45,8/10/2015 8:54
8/10/2015 8:51,8/10/2015 9:11
8/10/2015 8:53,8/10/2015 8:55
8/10/2015 8:57,8/10/2015 9:03
8/10/2015 8:59,8/10/2015 9:08
8/10/2015 9:01,8/10/2015 9:50
8/10/2015 9:02,8/10/2015 9:50
8/10/2015 9:04,8/10/2015 9:09
8/10/2015 9:05,8/10/2015 9:18
8/10/2015 9:06,8/10/2015 9:13
8/10/2015 9:17,8/10/2015 9:38
8/10/2015 9:19,8/10/2015 9:44
8/10/2015 9:24,8/10/2015 9:35
8/10/2015 9:44,8/10/2015 10:10
8/10/2015 9:53,8/10/2015 10:17
8/10/2015 9:55,8/10/2015 10:09
8/10/2015 9:55,8/10/2015 10:01
8/10/2015 10:02,8/10/2015 10:10
8/10/2015 10:03,8/10/2015 10:08
8/10/2015 10:03,8/10/2015 12:40
8/10/2015 10:08,8/10/2015 10:30
8/10/2015 10:09,8/10/2015 10:16
8/10/2015 10:20,8/10/2015 11:14
8/10/2015 10:21,8/10/2015 11:11
8/10/2015 10:24,8/10/2015 10:54
8/10/2015 10:25,8/10/2015 10:27
8/10/2015 10:25,8/10/2015 10:53
8/10/2015 10:40,8/10/2015 11:07
8/10/2015 11:01,8/10/2015 11:17
8/10/2015 11:09,8/10/2015 11:49
8/10/2015 11:14,8/10/2015 11:35
8/10/2015 11:19,8/10/2015 11:36
8/10/2015 11:33,8/10/2015 11:43
8/10/2015 11:36,8/10/2015 11:56
8/10/2015 11:37,8/10/2015 12:15
8/10/2015 11:43,8/10/2015 11:52
