Starttime,Stoptime
9/19/2015 0:01,9/19/2015 0:22
9/19/2015 0:06,9/19/2015 0:08
9/19/2015 0:07,9/19/2015 0:10
9/19/2015 0:10,9/19/2015 0:25
9/19/2015 0:23,9/19/2015 0:47
9/19/2015 0:24,9/19/2015 9:28
9/19/2015 0:26,9/19/2015 0:42
9/19/2015 0:26,9/19/2015 0:45
9/19/2015 0:41,9/19/2015 0:55
9/19/2015 0:41,9/19/2015 0:56
9/19/2015 0:42,9/19/2015 0:56
9/19/2015 0:42,9/19/2015 0:54
9/19/2015 0:45,9/19/2015 1:01
9/19/2015 0:55,9/19/2015 1:03
9/19/2015 1:00,9/19/2015 1:04
9/19/2015 1:00,9/19/2015 13:58
9/19/2015 1:03,9/19/2015 1:11
9/19/2015 1:08,9/19/2015 1:43
9/19/2015 1:14,9/19/2015 2:11
9/19/2015 1:16,9/20/2015 14:54
9/19/2015 1:48,9/19/2015 3:11
9/19/2015 1:50,9/19/2015 3:11
9/19/2015 1:50,9/19/2015 3:10
9/19/2015 2:06,9/19/2015 3:26
9/19/2015 2:06,9/19/2015 2:38
9/19/2015 2:10,9/19/2015 3:28
9/19/2015 2:15,9/19/2015 2:20
9/19/2015 2:20,9/19/2015 2:46
9/19/2015 2:20,9/19/2015 2:50
9/19/2015 3:04,9/19/2015 3:23
9/19/2015 3:05,9/19/2015 3:28
9/19/2015 3:47,9/19/2015 3:56
9/19/2015 3:51,9/19/2015 4:06
9/19/2015 5:45,9/19/2015 5:52
9/19/2015 5:53,9/19/2015 6:45
9/19/2015 5:57,9/19/2015 6:41
9/19/2015 6:04,9/19/2015 6:11
9/19/2015 6:11,9/19/2015 6:40
9/19/2015 6:19,9/19/2015 6:37
9/19/2015 7:21,9/19/2015 7:48
9/19/2015 7:26,9/19/2015 7:32
9/19/2015 7:32,9/19/2015 7:48
9/19/2015 7:37,9/19/2015 7:46
9/19/2015 7:40,9/19/2015 7:56
9/19/2015 8:08,9/19/2015 8:22
9/19/2015 8:12,9/19/2015 9:07
9/19/2015 8:21,9/19/2015 8:27
9/19/2015 8:22,9/19/2015 8:28
9/19/2015 8:34,9/19/2015 9:06
9/19/2015 8:35,9/19/2015 9:06
9/19/2015 8:38,9/19/2015 8:55
9/19/2015 8:41,9/19/2015 9:04
9/19/2015 8:41,9/19/2015 9:57
9/19/2015 8:42,9/19/2015 9:05
9/19/2015 8:43,9/19/2015 9:34
9/19/2015 8:45,9/19/2015 10:16
9/19/2015 8:45,9/19/2015 10:15
9/19/2015 8:47,9/19/2015 9:11
9/19/2015 8:52,9/19/2015 13:33
9/19/2015 9:00,9/19/2015 13:32
9/19/2015 9:04,9/19/2015 9:13
9/19/2015 9:07,9/19/2015 9:43
9/19/2015 9:11,9/19/2015 9:19
9/19/2015 9:13,9/19/2015 12:00
9/19/2015 9:13,9/19/2015 12:00
9/19/2015 9:21,9/19/2015 9:33
9/19/2015 9:25,9/19/2015 13:31
9/19/2015 9:26,9/19/2015 9:48
9/19/2015 9:37,9/19/2015 9:39
9/19/2015 9:40,9/19/2015 15:11
9/19/2015 9:41,9/19/2015 10:11
9/19/2015 9:45,9/19/2015 10:22
9/19/2015 9:46,9/19/2015 10:21
9/19/2015 9:50,9/19/2015 11:05
9/19/2015 9:54,9/19/2015 11:05
9/19/2015 9:57,9/19/2015 11:06
9/19/2015 9:57,9/19/2015 10:31
9/19/2015 9:58,9/19/2015 10:31
9/19/2015 10:03,9/19/2015 10:37
9/19/2015 10:03,9/19/2015 10:38
9/19/2015 10:07,9/19/2015 10:34
9/19/2015 10:07,9/19/2015 10:34
9/19/2015 10:12,9/19/2015 12:07
9/19/2015 10:14,9/19/2015 12:21
9/19/2015 10:14,9/19/2015 10:45
9/19/2015 10:15,9/19/2015 11:06
9/19/2015 10:16,9/19/2015 13:32
9/19/2015 10:18,9/19/2015 12:06
9/19/2015 10:19,9/19/2015 12:07
9/19/2015 10:25,9/19/2015 11:08
9/19/2015 10:29,9/19/2015 10:40
9/19/2015 10:29,9/19/2015 10:40
9/19/2015 10:32,9/19/2015 11:06
9/19/2015 10:32,9/19/2015 10:39
9/19/2015 10:34,9/19/2015 12:37
9/19/2015 10:35,9/19/2015 11:51
9/19/2015 10:37,9/19/2015 10:53
9/19/2015 10:38,9/19/2015 10:53
9/19/2015 10:39,9/19/2015 14:30
9/19/2015 10:41,9/19/2015 11:02
9/19/2015 10:41,9/19/2015 14:30
9/19/2015 10:44,9/19/2015 10:54
9/19/2015 10:54,9/19/2015 10:56
9/19/2015 10:54,9/19/2015 10:59
9/19/2015 10:55,9/19/2015 12:08
9/19/2015 10:57,9/19/2015 12:10
9/19/2015 10:59,9/19/2015 11:11
9/19/2015 11:03,9/19/2015 11:11
9/19/2015 11:03,9/19/2015 11:12
9/19/2015 11:04,9/19/2015 12:28
9/19/2015 11:04,9/19/2015 13:13
9/19/2015 11:05,9/19/2015 14:26
9/19/2015 11:06,9/19/2015 14:27
9/19/2015 11:06,9/19/2015 11:36
9/19/2015 11:07,9/19/2015 12:27
9/19/2015 11:07,9/19/2015 12:27
9/19/2015 11:08,9/19/2015 14:26
9/19/2015 11:08,9/19/2015 14:27
9/19/2015 11:14,9/19/2015 12:21
9/19/2015 11:14,9/19/2015 13:02
9/19/2015 11:15,9/19/2015 11:30
9/19/2015 11:15,9/19/2015 11:29
9/19/2015 11:15,9/19/2015 11:34
9/19/2015 11:16,9/19/2015 11:28
9/19/2015 11:17,9/19/2015 11:36
9/19/2015 11:18,9/19/2015 16:53
9/19/2015 11:18,9/19/2015 16:52
9/19/2015 11:18,9/19/2015 16:51
9/19/2015 11:19,9/19/2015 12:25
9/19/2015 11:20,9/19/2015 11:25
9/19/2015 11:22,9/19/2015 12:24
9/19/2015 11:24,9/19/2015 14:25
9/19/2015 11:24,9/19/2015 14:25
9/19/2015 11:26,9/19/2015 12:10
9/19/2015 11:27,9/19/2015 13:07
9/19/2015 11:29,9/19/2015 12:01
9/19/2015 11:29,9/19/2015 13:27
9/19/2015 11:30,9/19/2015 12:30
9/19/2015 11:30,9/19/2015 11:49
9/19/2015 11:30,9/19/2015 12:12
9/19/2015 11:30,9/19/2015 12:12
9/19/2015 11:30,9/19/2015 13:26
9/19/2015 11:36,9/19/2015 12:49
9/19/2015 11:39,9/19/2015 11:43
9/19/2015 11:42,9/19/2015 16:25
9/19/2015 11:43,9/19/2015 12:45
9/19/2015 11:43,9/19/2015 12:43
9/19/2015 11:44,9/19/2015 12:16
9/19/2015 11:48,9/19/2015 12:40
9/19/2015 11:48,9/19/2015 13:18
9/19/2015 11:49,9/19/2015 12:05
9/19/2015 11:49,9/19/2015 12:05
9/19/2015 11:49,9/19/2015 12:05
9/19/2015 11:50,9/19/2015 12:05
9/19/2015 11:50,9/19/2015 12:05
9/19/2015 11:50,9/19/2015 14:03
9/19/2015 11:51,9/19/2015 12:09
9/19/2015 11:51,9/19/2015 16:18
9/19/2015 11:52,9/19/2015 12:09
9/19/2015 11:52,9/19/2015 13:19
9/19/2015 11:54,9/19/2015 11:58
9/19/2015 11:54,9/19/2015 12:04
9/19/2015 11:54,9/19/2015 11:57
9/19/2015 11:55,9/19/2015 13:49
9/19/2015 11:55,9/19/2015 13:49
9/19/2015 11:56,9/19/2015 12:13
9/19/2015 12:00,9/19/2015 12:49
9/19/2015 12:02,9/19/2015 12:21
9/19/2015 12:03,9/19/2015 12:06
9/19/2015 12:04,9/19/2015 15:08
9/19/2015 12:06,9/19/2015 13:15
9/19/2015 12:07,9/19/2015 12:10
9/19/2015 12:07,9/19/2015 15:09
9/19/2015 12:07,9/19/2015 12:10
9/19/2015 12:07,9/19/2015 12:10
9/19/2015 12:08,9/19/2015 12:27
9/19/2015 12:10,9/19/2015 12:18
9/19/2015 12:10,9/19/2015 14:50
9/19/2015 12:11,9/19/2015 12:37
9/19/2015 12:13,9/19/2015 18:11
9/19/2015 12:13,9/19/2015 13:16
9/19/2015 12:14,9/19/2015 16:16
9/19/2015 12:15,9/19/2015 18:09
9/19/2015 12:15,9/19/2015 13:14
9/19/2015 12:16,9/19/2015 12:30
9/19/2015 12:17,9/19/2015 12:27
9/19/2015 12:17,9/19/2015 12:36
9/19/2015 12:17,9/19/2015 13:00
9/19/2015 12:18,9/19/2015 12:36
9/19/2015 12:18,9/19/2015 12:41
9/19/2015 12:18,9/19/2015 14:25
9/19/2015 12:19,9/19/2015 13:15
9/19/2015 12:19,9/19/2015 13:00
9/19/2015 12:19,9/19/2015 12:40
9/19/2015 12:19,9/19/2015 14:25
9/19/2015 12:20,9/19/2015 14:25
9/19/2015 12:22,9/19/2015 13:00
9/19/2015 12:25,9/19/2015 12:41
9/19/2015 12:27,9/19/2015 12:58
9/19/2015 12:27,9/19/2015 12:57
9/19/2015 12:28,9/19/2015 13:00
9/19/2015 12:29,9/19/2015 12:34
9/19/2015 12:30,9/19/2015 17:06
9/19/2015 12:31,9/19/2015 14:14
9/19/2015 12:33,9/19/2015 18:49
9/19/2015 12:35,9/19/2015 13:31
9/19/2015 12:36,9/19/2015 13:31
9/19/2015 12:36,9/19/2015 13:32
9/19/2015 12:37,9/19/2015 13:31
9/19/2015 12:37,9/19/2015 14:00
9/19/2015 12:37,9/19/2015 14:01
9/19/2015 12:37,9/21/2015 16:39
9/19/2015 12:39,9/19/2015 13:02
9/19/2015 12:39,9/19/2015 13:03
9/19/2015 12:40,9/19/2015 13:39
9/19/2015 12:42,9/19/2015 12:57
9/19/2015 12:45,9/19/2015 12:57
9/19/2015 12:46,9/19/2015 13:04
9/19/2015 12:46,9/19/2015 13:40
9/19/2015 12:47,9/19/2015 12:51
9/19/2015 12:47,9/19/2015 13:40
9/19/2015 12:48,9/19/2015 13:41
9/19/2015 12:53,9/19/2015 13:09
9/19/2015 12:54,9/19/2015 13:07
9/19/2015 12:55,9/19/2015 13:09
9/19/2015 12:57,9/19/2015 13:47
9/19/2015 12:58,9/19/2015 15:05
9/19/2015 12:59,9/19/2015 15:02
9/19/2015 12:59,9/19/2015 13:07
9/19/2015 12:59,9/19/2015 15:06
9/19/2015 13:00,9/19/2015 13:57
9/19/2015 13:00,9/19/2015 13:54
9/19/2015 13:00,9/19/2015 15:05
9/19/2015 13:00,9/19/2015 13:07
9/19/2015 13:01,9/19/2015 15:06
9/19/2015 13:02,9/19/2015 15:06
9/19/2015 13:03,9/19/2015 16:16
9/19/2015 13:06,9/19/2015 13:47
9/19/2015 13:06,9/19/2015 13:13
9/19/2015 13:09,9/19/2015 13:47
9/19/2015 13:11,9/19/2015 14:19
9/19/2015 13:11,9/19/2015 14:23
9/19/2015 13:11,9/19/2015 13:48
9/19/2015 13:13,9/19/2015 13:36
9/19/2015 13:13,9/19/2015 13:23
9/19/2015 13:14,9/19/2015 13:58
9/19/2015 13:14,9/19/2015 13:58
9/19/2015 13:17,9/19/2015 18:19
9/19/2015 13:17,9/19/2015 18:19
9/19/2015 13:20,9/19/2015 13:30
9/19/2015 13:21,9/19/2015 13:46
9/19/2015 13:21,9/19/2015 13:43
9/19/2015 13:21,9/19/2015 13:45
9/19/2015 13:22,9/19/2015 13:45
9/19/2015 13:26,9/19/2015 15:26
9/19/2015 13:27,9/19/2015 13:31
9/19/2015 13:27,9/19/2015 16:49
9/19/2015 13:29,9/19/2015 16:39
9/19/2015 13:29,9/19/2015 16:49
9/19/2015 13:30,9/19/2015 15:26
9/19/2015 13:30,9/19/2015 15:49
9/19/2015 13:31,9/19/2015 14:18
9/19/2015 13:33,9/19/2015 15:05
9/19/2015 13:33,9/19/2015 15:48
9/19/2015 13:34,9/19/2015 15:48
9/19/2015 13:34,9/19/2015 13:56
9/19/2015 13:34,9/19/2015 15:48
9/19/2015 13:34,9/19/2015 13:56
9/19/2015 13:35,9/19/2015 14:10
9/19/2015 13:36,9/19/2015 14:09
9/19/2015 13:38,9/19/2015 14:28
9/19/2015 13:43,9/19/2015 13:59
9/19/2015 13:43,9/19/2015 13:55
9/19/2015 13:44,9/19/2015 14:06
9/19/2015 13:44,9/19/2015 14:13
9/19/2015 13:45,9/19/2015 14:12
9/19/2015 13:46,9/19/2015 16:29
9/19/2015 13:47,9/19/2015 15:23
9/19/2015 13:47,9/19/2015 13:57
9/19/2015 13:48,9/19/2015 15:22
9/19/2015 13:51,9/19/2015 13:56
9/19/2015 13:51,9/19/2015 15:49
9/19/2015 13:52,9/19/2015 14:12
9/19/2015 13:52,9/19/2015 14:14
9/19/2015 13:52,9/19/2015 14:20
9/19/2015 13:52,9/19/2015 14:21
9/19/2015 13:53,9/19/2015 14:16
9/19/2015 13:55,9/19/2015 14:54
9/19/2015 13:55,9/19/2015 15:19
9/19/2015 13:57,9/19/2015 15:15
9/19/2015 13:57,9/19/2015 15:19
9/19/2015 13:57,9/19/2015 14:09
9/19/2015 13:58,9/19/2015 14:08
9/19/2015 13:58,9/19/2015 15:14
9/19/2015 13:58,9/19/2015 15:19
9/19/2015 13:58,9/19/2015 15:54
9/19/2015 13:59,9/19/2015 15:19
9/19/2015 13:59,9/19/2015 15:53
9/19/2015 14:01,9/19/2015 15:13
9/19/2015 14:01,9/19/2015 15:23
9/19/2015 14:02,9/19/2015 14:04
9/19/2015 14:02,9/19/2015 15:15
9/19/2015 14:02,9/19/2015 15:19
9/19/2015 14:02,9/19/2015 14:48
9/19/2015 14:04,9/19/2015 15:19
9/19/2015 14:04,9/19/2015 14:50
9/19/2015 14:10,9/19/2015 15:53
9/19/2015 14:10,9/19/2015 15:29
9/19/2015 14:11,9/19/2015 15:54
9/19/2015 14:11,9/19/2015 14:30
9/19/2015 14:12,9/19/2015 14:30
9/19/2015 14:17,9/19/2015 15:29
9/19/2015 14:18,9/19/2015 14:25
9/19/2015 14:20,9/19/2015 15:12
9/19/2015 14:22,9/19/2015 15:26
9/19/2015 14:22,9/19/2015 15:11
9/19/2015 14:23,9/19/2015 14:37
9/19/2015 14:24,9/19/2015 15:48
9/19/2015 14:24,9/19/2015 15:27
9/19/2015 14:25,9/19/2015 15:48
9/19/2015 14:25,9/19/2015 15:28
9/19/2015 14:27,9/19/2015 15:27
9/19/2015 14:27,9/19/2015 15:47
9/19/2015 14:27,9/19/2015 14:55
9/19/2015 14:27,9/19/2015 15:48
9/19/2015 14:28,9/19/2015 15:09
9/19/2015 14:31,9/19/2015 14:41
9/19/2015 14:32,9/19/2015 15:06
9/19/2015 14:33,9/19/2015 15:06
9/19/2015 14:34,9/19/2015 14:58
9/19/2015 14:36,9/19/2015 14:43
9/19/2015 14:36,9/19/2015 16:43
9/19/2015 14:37,9/19/2015 16:42
9/19/2015 14:38,9/19/2015 16:42
9/19/2015 14:39,9/19/2015 16:41
9/19/2015 14:39,9/19/2015 15:40
9/19/2015 14:47,9/19/2015 15:10
9/19/2015 14:47,9/19/2015 15:10
9/19/2015 14:49,9/19/2015 15:27
9/19/2015 14:49,9/19/2015 15:40
9/19/2015 14:50,9/19/2015 15:28
9/19/2015 14:50,9/19/2015 15:27
9/19/2015 14:50,9/19/2015 15:40
9/19/2015 14:50,9/19/2015 15:28
9/19/2015 14:50,9/19/2015 15:28
9/19/2015 14:53,9/19/2015 16:25
9/19/2015 14:53,9/19/2015 16:22
9/19/2015 14:54,9/19/2015 15:29
9/19/2015 14:54,9/19/2015 16:53
9/19/2015 14:59,9/19/2015 15:47
9/19/2015 15:00,9/19/2015 15:59
9/19/2015 15:02,9/19/2015 16:14
9/19/2015 15:02,9/19/2015 15:41
9/19/2015 15:02,9/19/2015 15:40
9/19/2015 15:02,9/19/2015 17:17
9/19/2015 15:02,9/19/2015 16:13
9/19/2015 15:03,9/19/2015 17:23
9/19/2015 15:03,9/20/2015 11:52
9/19/2015 15:04,9/19/2015 17:23
9/19/2015 15:05,9/19/2015 15:47
9/19/2015 15:05,9/19/2015 17:24
9/19/2015 15:05,9/19/2015 15:45
