Starttime,Stoptime
9/7/2015 0:01,9/7/2015 0:14
9/7/2015 0:03,9/7/2015 0:43
9/7/2015 0:04,9/7/2015 0:39
9/7/2015 0:32,9/7/2015 0:43
9/7/2015 0:58,9/7/2015 1:58
9/7/2015 0:59,9/7/2015 1:58
9/7/2015 1:00,9/7/2015 1:56
9/7/2015 1:03,9/7/2015 1:23
9/7/2015 1:16,9/7/2015 1:23
9/7/2015 1:19,9/7/2015 2:05
9/7/2015 2:03,9/7/2015 2:10
9/7/2015 2:49,9/7/2015 3:02
9/7/2015 2:51,9/7/2015 3:04
9/7/2015 2:51,9/7/2015 3:05
9/7/2015 2:52,9/7/2015 3:04
9/7/2015 3:45,9/7/2015 3:56
9/7/2015 4:16,9/7/2015 4:45
9/7/2015 4:46,9/7/2015 6:41
9/7/2015 4:47,9/7/2015 6:40
9/7/2015 4:48,9/7/2015 4:52
9/7/2015 4:52,9/7/2015 6:39
9/7/2015 5:46,9/7/2015 5:55
9/7/2015 6:55,9/7/2015 7:17
9/7/2015 6:56,9/7/2015 7:19
9/7/2015 7:16,9/7/2015 8:02
9/7/2015 7:16,9/7/2015 8:02
9/7/2015 7:24,9/7/2015 8:06
9/7/2015 7:42,9/7/2015 7:54
9/7/2015 7:51,9/7/2015 8:01
9/7/2015 7:54,9/7/2015 8:11
9/7/2015 7:57,9/7/2015 8:20
9/7/2015 8:02,9/7/2015 8:41
9/7/2015 8:04,9/7/2015 9:19
9/7/2015 8:05,9/7/2015 8:40
9/7/2015 8:05,9/7/2015 8:42
9/7/2015 8:07,9/7/2015 8:23
9/7/2015 8:08,9/7/2015 8:58
9/7/2015 8:10,9/7/2015 9:40
9/7/2015 8:10,9/7/2015 9:41
9/7/2015 8:22,9/7/2015 9:33
9/7/2015 8:25,9/7/2015 9:24
9/7/2015 8:34,9/7/2015 8:53
9/7/2015 8:40,9/7/2015 8:46
9/7/2015 8:42,9/7/2015 10:29
9/7/2015 8:43,9/7/2015 10:53
9/7/2015 8:48,9/7/2015 10:53
9/7/2015 8:50,9/7/2015 9:53
9/7/2015 8:51,9/7/2015 9:54
9/7/2015 8:54,9/7/2015 9:10
9/7/2015 8:54,9/7/2015 9:11
9/7/2015 8:56,9/7/2015 9:32
9/7/2015 9:04,9/7/2015 12:21
9/7/2015 9:05,9/7/2015 12:20
9/7/2015 9:06,9/7/2015 13:36
9/7/2015 9:09,9/7/2015 9:17
9/7/2015 9:14,9/7/2015 12:51
9/7/2015 9:15,9/7/2015 9:34
9/7/2015 9:16,9/7/2015 9:19
9/7/2015 9:17,9/7/2015 10:12
9/7/2015 9:17,9/7/2015 9:44
9/7/2015 9:18,9/7/2015 13:09
9/7/2015 9:19,9/7/2015 13:08
9/7/2015 9:20,9/7/2015 10:12
9/7/2015 9:21,9/7/2015 9:52
9/7/2015 9:25,9/7/2015 9:59
9/7/2015 9:32,9/7/2015 11:59
9/7/2015 9:32,9/7/2015 11:06
9/7/2015 9:32,9/7/2015 11:22
9/7/2015 9:33,9/7/2015 11:56
9/7/2015 9:33,9/7/2015 10:19
9/7/2015 9:42,9/7/2015 12:34
9/7/2015 9:43,9/7/2015 10:09
9/7/2015 9:44,9/7/2015 10:12
9/7/2015 9:44,9/7/2015 9:49
9/7/2015 9:44,9/7/2015 10:09
9/7/2015 9:44,9/7/2015 10:06
9/7/2015 9:44,9/7/2015 10:02
9/7/2015 9:44,9/7/2015 10:08
9/7/2015 9:44,9/7/2015 10:08
